comments,star
人与狗的情感浓度不够 以至于四次轮回沦为一种形式感 甚至不算严格意义上的人狗情 狗主要作为了旁观者 见证了女主角的成长 并且不喜欢这种人类将狗拟人化 并强加四世使命的自大 也并不是传说中的哭片 没有在煽情上大做文章 节奏比较平 中间部分略闷 以及 编剧对于不负责任的母亲 渣女和渣男的想象十分脸谱 包括他们养的狗的品种 ,3
6 0 10 编剧实在太差劲了   19 05 26 百联中环,3
内容塞得太满了 家庭关系 自我成长 亲情爱情  唏哩呼噜地就带过去了 哪个都说了 那个也没说透 春晚合家欢系列 只能说是看着玩儿的电影 不值票钱 ,2
除了西方固有的对中国人的书呆气 保守 无聊的刻板印象之外 片中把华人放到西方白人的语境下 确实能看到男性是如此柔弱和不成熟 东亚普遍推崇的 年轻  无论男女 却成了极不被赞赏的品质 怎么也不觉得他是个男人 感觉不出他能脱离中国式大家庭和母亲的儿子之角色 感觉不出成熟能担当 而温柔体贴 可爱等这些东亚推崇的男性特质突然才觉得在白人那里并不受欢迎 有些东西在同质文化中看不出来只有在另外的文化中才能显现 大华从国内综艺来看已经算是中国人里身体比较自然放松的了 毕竟在国外自由的环境中长大 但在这里处处显得紧张凝固 身体中存在着很多恐惧和限制 不知如何做反应 很多接得不恰当的表演 一些群体性的东西在个人身上留下的痕迹毕竟不是只要把对方的语言说溜了就可以抹平的啊 整片来说故事很多处都很牵强 ,2
对这种免疫 但还是会被长久以来驯化的忠诚和陪伴小感动,2
多给一颗星 是最后的画面 狗狗完成使命 穿越彩虹桥 和去世的主人相聚 这一段太重击人心了 ,3
在这部电影里 任何噱头都比不上伊森和狗老大 ,4
试问谁不想 一条成了精名叫贝利的狗老大 结局狗老大和伊森在天堂相聚真美好 狗老大终于不用再为了承诺奔波几辈子 女主从小美到大 就是选男人的眼光太差 特伦特的癌症就跟得着玩儿似的 第二部看得我真的想 1 狂扇那个不清醒的妈 2  锤爆追车男的头 3 撕扯特伦特女友的头发,3
剧情也太单薄了 两颗星都给狗狗 女主妈妈的变化也很奇怪 ,2
编剧还能更自恋一点么 狗的使命就是完全为人类生为人类死 ,2
这片子主要的作用是 让家里的宠物去世不再变得那么让人难过 刘宪华演技好差 但我觉得他像个好男人 ,4
挺治愈 ,4
快进快进,2
大华 坚持你的音乐梦想可以吗 ,3
阿里的复制黏贴,3
